scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap
stationary_biascor,stationary_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,stable,1,50,NA,NA,NA,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
autocorr_biascor,autocorr_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,stable,1,50,NA,NA,NA,stable,NA,0.45,TRUE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
decLinearProd_biascor,decLinearProd_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd_biascor,regimeProd_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.769,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
sineProd_biascor,sineProd_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,sine,1,50,NA,NA,NA,0.385,25,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeCap_biascor,regimeCap_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,1.5,50,NA,NA,15,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
decLinearCap_biascor,decLinearCap_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,0.5,50,11,45,NA,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
sigmaShift_biascor,sigmaShift_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,shift,25,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1.5,1,1,TRUE,3
regimeProdCap_biascor,regimeProdCap_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.769,50,NA,NA,15,NA,NA,regime,0.5,50,NA,NA,15,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
shiftCap_biascor,shiftCap_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,25,NA,NA,regime,0.5,50,11,50,25,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
decLinearProdshiftCap_biascor,decLinearProdshiftCap_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,regime,1.5,50,11,50,25,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
shiftProd_biascor,shiftProd_biascor,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0.231,50,11,25,10,NA,NA,stable,1,50,11,50,25,stable,NA,0,FALSE,TRUE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
