scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
trendLinearProd1_halfbeta,trendLinearProd1_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearProd2_halfbeta,trendLinearProd2_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.5331901,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearProd5_halfbeta,trendLinearProd5_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.2380292,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearProd7_halfbeta,trendLinearProd7_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.496854,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearProd7_halfbeta,trendLinearProd7_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.771219,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd1_halfbeta,regimeProd1_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd2_halfbeta,regimeProd2_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0.5331901,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd5_halfbeta,regimeProd5_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.2380292,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd7_halfbeta,regimeProd7_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.496854,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd7_halfbeta,regimeProd7_halfbeta,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.771219,50,NA,NA,20,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
