scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
trendLinearSmax025_da,trendLinearSmax025_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,0.25,50,6,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearSmax050_da,trendLinearSmax050_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,0.5,50,6,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearSmax150_da,trendLinearSmax150_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1.5,50,6,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearSmax200_da,trendLinearSmax200_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,2,50,6,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendLinearSmax300_da,trendLinearSmax300_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,3,50,6,45,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeSmax025_da,regimeSmax025_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,0.25,50,NA,NA,20,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeSmax050_da,regimeSmax050_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,0.5,50,NA,NA,20,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeSmax150_da,regimeSmax150_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,1.5,50,NA,NA,20,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeSmax200_da,regimeSmax200_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,2,50,NA,NA,20,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeSmax300_da,regimeSmax300_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,regime,3,50,NA,NA,20,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
